"active","price","created_at","id","name","description","sku","categories","in_stock"
"False","165.76","2025-12-02 00:15:32.6374+01","1","Jeans B2","Comfortable and stylish fashionable jeans with perfect fit.","SKU0001","Clothing","45"
"True","107.48","2025-07-22 00:15:32.6374+02","2","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0002","Home","44"
"True","116.28","2025-01-18 00:15:32.6374+01","3","Water Bottle 4","High-performance insulated water bottle for all your adventures.","SKU0003","Home","15"
"True","49.90","2025-08-28 00:15:32.6374+02","4","Mystery Thriller 5","Inspiring and informative mystery thriller that keeps you guessing.","SKU0004","Books;Sports","352"
"True","1351.87","2025-04-01 00:15:32.6374+02","5","Bluetooth Speaker 6","High-quality high-performance smartphone with latest features.","SKU0005","Electronics","44"
"True","176.51","2025-09-06 00:15:32.6374+02","6","T-Shirt G7","Comfortable and stylish casual dress for any occasion.","SKU0006","Clothing","11"
"True","341.14","2025-04-28 00:15:32.6374+02","7","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0007","Home","2"
"True","206.20","2025-09-21 00:15:32.6374+02","8","Basketball 4","Premium quality basketball for indoor and outdoor play.","SKU0008","Sports","13"
"True","17.05","2025-12-17 00:15:32.6374+01","9","Cookbook 10","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0009","Books","5"
"True","1336.25","2025-02-27 00:15:32.6374+01","10","Headphones 11","High-quality professional-grade smartphone with latest features.","SKU0010","Electronics","39"
"True","50.64","2025-05-29 00:15:32.6374+02","11","Shorts L4","Comfortable and stylish trendy jacket for all seasons.","SKU0011","Clothing","42"
"True","203.05","2024-12-27 00:15:32.6374+01","12","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0012","Home","98"
"True","283.24","2025-06-09 00:15:32.6374+02","13","Running Shoes 4","Durable and reliable running shoes for maximum comfort.","SKU0013","Clothing;Sports","19"
"True","32.03","2025-08-16 00:15:32.6374+02","14","Historical Fiction 15","Captivating and well-written mystery thriller that keeps you guessing.","SKU0014","Books","50"
"True","559.42","2025-07-26 00:15:32.6374+02","15","Fitness Tracker 1","High-quality premium smartphone with latest features.","SKU0015","Electronics;Sports","211"
"True","73.02","2025-11-19 00:15:32.6374+01","16","Hoodie Q3","Comfortable and stylish fashionable t-shirt made from premium cotton.","SKU0016","Clothing","45"
"True","448.68","2025-11-19 00:15:32.6374+01","17","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0017","Home","35"
"True","222.78","2025-07-04 00:15:32.6374+02","18","Yoga Mat 4","High-performance yoga mat with excellent grip.","SKU0018","Sports","49"
"True","16.03","2025-04-19 00:15:32.6374+02","19","Biography 20","Inspiring and informative mystery thriller that keeps you guessing.","SKU0019","Books;Sports","50"
"True","268.58","2025-09-11 00:15:32.6374+02","20","Tablet 1","High-quality high-performance smartphone with latest features.","SKU0020","Electronics","16"
"True","84.65","2025-03-02 00:15:32.6374+01","21","Jacket B2","Comfortable and stylish casual jeans with perfect fit.","SKU0021","Clothing","27"
"True","90.23","2025-01-30 00:15:32.6374+01","22","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0022","Home","425"
"True","64.01","2025-12-03 00:15:32.6374+01","23","Water Bottle 4","Premium quality insulated water bottle for all your adventures.","SKU0023","Home","138"
"True","10.09","2025-11-05 00:15:32.6374+01","24","Science Fiction Novel 5","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0024","Books","116"
"True","1870.81","2025-03-21 00:15:32.6374+01","25","Laptop 6","High-quality professional-grade smartphone with latest features.","SKU0025","Electronics","361"
"True","193.88","2025-07-22 00:15:32.6374+02","26","Dress G3","Comfortable and stylish trendy dress for any occasion.","SKU0026","Clothing","28"
"True","297.92","2025-09-27 00:15:32.6374+02","27","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0027","Home","32"
"True","25.71","2025-04-11 00:15:32.6374+02","28","Basketball 4","Durable and reliable basketball for indoor and outdoor play.","SKU0028","Sports","50"
"True","28.90","2025-01-30 00:15:32.6374+01","29","Fantasy Epic 10","Captivating and well-written mystery thriller that keeps you guessing.","SKU0029","Books","15"
"True","1240.65","2025-10-08 00:15:32.6374+02","30","Gaming Console 1","High-quality premium smartphone with latest features.","SKU0030","Electronics","24"
"True","72.14","2024-12-29 00:15:32.6374+01","31","Jeans L8","Comfortable and stylish fashionable jacket for all seasons.","SKU0031","Clothing","7"
"True","136.88","2025-04-30 00:15:32.6374+02","32","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0032","Home","46"
"True","174.89","2025-04-18 00:15:32.6374+02","33","Running Shoes 4","High-performance running shoes for maximum comfort.","SKU0033","Clothing;Sports","345"
"True","41.87","2025-11-03 00:15:32.6374+01","34","Self-Help Guide 15","Inspiring and informative mystery thriller that keeps you guessing.","SKU0034","Books;Sports","81"
"False","211.58","2025-01-27 00:15:32.6374+01","35","Smart Watch 4","High-quality high-performance smartphone with latest features.","SKU0035","Electronics","22"
"True","107.38","2025-02-22 00:15:32.6374+01","36","T-Shirt Q7","Comfortable and stylish casual t-shirt made from premium cotton.","SKU0036","Clothing","48"
"True","449.26","2025-04-01 00:15:32.6374+02","37","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0037","Home","18"
"True","86.12","2025-10-12 00:15:32.6374+02","38","Yoga Mat 4","Premium quality yoga mat with excellent grip.","SKU0038","Sports","25"
"True","42.67","2025-04-01 00:15:32.6374+02","39","Business Strategy 20","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0039","Books","194"
"True","1942.78","2025-10-25 00:15:32.6374+02","40","Smartphone 1","High-quality professional-grade smartphone with latest features.","SKU0040","Electronics","304"
"True","163.63","2025-08-05 00:15:32.6374+02","41","Shorts B2","Comfortable and stylish trendy jeans with perfect fit.","SKU0041","Clothing","30"
"True","43.10","2025-01-03 00:15:32.6374+01","42","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0042","Home","10"
"False","145.99","2025-11-03 00:15:32.6374+01","43","Water Bottle 4","Durable and reliable insulated water bottle for all your adventures.","SKU0043","Home","16"
"True","35.07","2025-04-20 00:15:32.6374+02","44","Mystery Thriller 5","Captivating and well-written mystery thriller that keeps you guessing.","SKU0044","Books","11"
"True","1193.69","2025-09-11 00:15:32.6374+02","45","Bluetooth Speaker 6","High-quality premium smartphone with latest features.","SKU0045","Electronics","25"
"True","120.65","2025-02-15 00:15:32.6374+01","46","Hoodie G5","Comfortable and stylish fashionable dress for any occasion.","SKU0046","Clothing","197"
"True","230.86","2025-06-19 00:15:32.6374+02","47","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0047","Home","15"
"True","163.48","2025-05-10 00:15:32.6374+02","48","Basketball 4","High-performance basketball for indoor and outdoor play.","SKU0048","Sports","13"
"True","13.37","2025-09-22 00:15:32.6374+02","49","Cookbook 10","Inspiring and informative mystery thriller that keeps you guessing.","SKU0049","Books;Sports","15"
"False","1561.75","2025-06-29 00:15:32.6374+02","50","Headphones 6","High-quality high-performance smartphone with latest features.","SKU0050","Electronics","28"
"True","142.60","2025-02-25 00:15:32.6374+01","51","Jacket L2","Comfortable and stylish casual jacket for all seasons.","SKU0051","Clothing","43"
"True","76.03","2025-09-09 00:15:32.6374+02","52","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0052","Home","36"
"True","140.14","2025-05-30 00:15:32.6374+02","53","Running Shoes 4","Premium quality running shoes for maximum comfort.","SKU0053","Clothing;Sports","8"
"True","15.09","2025-03-22 00:15:32.6374+01","54","Historical Fiction 15","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0054","Books","31"
"True","214.74","2025-07-19 00:15:32.6374+02","55","Fitness Tracker 1","High-quality professional-grade smartphone with latest features.","SKU0055","Electronics;Sports","14"
"True","114.81","2025-09-20 00:15:32.6374+02","56","Dress Q3","Comfortable and stylish trendy t-shirt made from premium cotton.","SKU0056","Clothing","5"
"True","303.95","2025-01-11 00:15:32.6374+01","57","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0057","Home","14"
"True","126.33","2025-02-26 00:15:32.6374+01","58","Yoga Mat 4","Durable and reliable yoga mat with excellent grip.","SKU0058","Sports","42"
"True","16.24","2025-07-16 00:15:32.6374+02","59","Biography 20","Captivating and well-written mystery thriller that keeps you guessing.","SKU0059","Books","14"
"True","787.63","2025-09-19 00:15:32.6374+02","60","Tablet 1","High-quality premium smartphone with latest features.","SKU0060","Electronics","20"
"True","156.10","2025-07-23 00:15:32.6374+02","61","Jeans B6","Comfortable and stylish fashionable jeans with perfect fit.","SKU0061","Clothing","21"
