"active","price","created_at","id","name","description","sku"
False,"165.76","2025-12-02 00:15:32.6374+01","1","Jeans B2","Comfortable and stylish fashionable jeans with perfect fit.","SKU0001"
True,"107.48","2025-07-22 00:15:32.6374+02","2","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0002"
True,"116.28","2025-01-18 00:15:32.6374+01","3","Water Bottle 4","High-performance insulated water bottle for all your adventures.","SKU0003"
True,"49.90","2025-08-28 00:15:32.6374+02","4","Mystery Thriller 5","Inspiring and informative mystery thriller that keeps you guessing.","SKU0004"
True,"1351.87","2025-04-01 00:15:32.6374+02","5","Bluetooth Speaker 6","High-quality high-performance smartphone with latest features.","SKU0005"
True,"176.51","2025-09-06 00:15:32.6374+02","6","T-Shirt G7","Comfortable and stylish casual dress for any occasion.","SKU0006"
True,"341.14","2025-04-28 00:15:32.6374+02","7","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0007"
True,"206.20","2025-09-21 00:15:32.6374+02","8","Basketball 4","Premium quality basketball for indoor and outdoor play.","SKU0008"
True,"17.05","2025-12-17 00:15:32.6374+01","9","Cookbook 10","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0009"
True,"1336.25","2025-02-27 00:15:32.6374+01","10","Headphones 11","High-quality professional-grade smartphone with latest features.","SKU0010"
True,"50.64","2025-05-29 00:15:32.6374+02","11","Shorts L4","Comfortable and stylish trendy jacket for all seasons.","SKU0011"
True,"203.05","2024-12-27 00:15:32.6374+01","12","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0012"
True,"283.24","2025-06-09 00:15:32.6374+02","13","Running Shoes 4","Durable and reliable running shoes for maximum comfort.","SKU0013"
True,"32.03","2025-08-16 00:15:32.6374+02","14","Historical Fiction 15","Captivating and well-written mystery thriller that keeps you guessing.","SKU0014"
True,"559.42","2025-07-26 00:15:32.6374+02","15","Fitness Tracker 1","High-quality premium smartphone with latest features.","SKU0015"
True,"73.02","2025-11-19 00:15:32.6374+01","16","Hoodie Q3","Comfortable and stylish fashionable t-shirt made from premium cotton.","SKU0016"
True,"448.68","2025-11-19 00:15:32.6374+01","17","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0017"
True,"222.78","2025-07-04 00:15:32.6374+02","18","Yoga Mat 4","High-performance yoga mat with excellent grip.","SKU0018"
True,"16.03","2025-04-19 00:15:32.6374+02","19","Biography 20","Inspiring and informative mystery thriller that keeps you guessing.","SKU0019"
True,"268.58","2025-09-11 00:15:32.6374+02","20","Tablet 1","High-quality high-performance smartphone with latest features.","SKU0020"
True,"84.65","2025-03-02 00:15:32.6374+01","21","Jacket B2","Comfortable and stylish casual jeans with perfect fit.","SKU0021"
True,"90.23","2025-01-30 00:15:32.6374+01","22","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0022"
True,"64.01","2025-12-03 00:15:32.6374+01","23","Water Bottle 4","Premium quality insulated water bottle for all your adventures.","SKU0023"
True,"10.09","2025-11-05 00:15:32.6374+01","24","Science Fiction Novel 5","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0024"
True,"1870.81","2025-03-21 00:15:32.6374+01","25","Laptop 6","High-quality professional-grade smartphone with latest features.","SKU0025"
True,"193.88","2025-07-22 00:15:32.6374+02","26","Dress G3","Comfortable and stylish trendy dress for any occasion.","SKU0026"
True,"297.92","2025-09-27 00:15:32.6374+02","27","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0027"
True,"25.71","2025-04-11 00:15:32.6374+02","28","Basketball 4","Durable and reliable basketball for indoor and outdoor play.","SKU0028"
True,"28.90","2025-01-30 00:15:32.6374+01","29","Fantasy Epic 10","Captivating and well-written mystery thriller that keeps you guessing.","SKU0029"
True,"1240.65","2025-10-08 00:15:32.6374+02","30","Gaming Console 1","High-quality premium smartphone with latest features.","SKU0030"
True,"72.14","2024-12-29 00:15:32.6374+01","31","Jeans L8","Comfortable and stylish fashionable jacket for all seasons.","SKU0031"
True,"136.88","2025-04-30 00:15:32.6374+02","32","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0032"
True,"174.89","2025-04-18 00:15:32.6374+02","33","Running Shoes 4","High-performance running shoes for maximum comfort.","SKU0033"
True,"41.87","2025-11-03 00:15:32.6374+01","34","Self-Help Guide 15","Inspiring and informative mystery thriller that keeps you guessing.","SKU0034"
False,"211.58","2025-01-27 00:15:32.6374+01","35","Smart Watch 4","High-quality high-performance smartphone with latest features.","SKU0035"
True,"107.38","2025-02-22 00:15:32.6374+01","36","T-Shirt Q7","Comfortable and stylish casual t-shirt made from premium cotton.","SKU0036"
True,"449.26","2025-04-01 00:15:32.6374+02","37","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0037"
True,"86.12","2025-10-12 00:15:32.6374+02","38","Yoga Mat 4","Premium quality yoga mat with excellent grip.","SKU0038"
